PIN ROW COL PIO BANK FUNCTION | config
R8   R50  C13  A bank8  SN/CSN                 | enum: PIOA.BASE_TYPE OUTPUT_LVCMOS25; enum: PIOA.CLAMP ON; enum: PIOA.DRIVE 4; enum: PIOA.PULLMODE NONE
T13  R44  C72  B bank3                         | enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II
T14  R41  C72  D bank3                         | -
T15  R38  C72  D bank3                         | -
T2   R38  C0   D bank6                         | -
T3   R41  C0   D bank6                         | -
T4   R44  C0   B bank6                         | enum: IOLOGICB.CEMUX CE; enum: IOLOGICB.CLKIMUX CLK; enum: IOLOGICB.CLKOMUX CLK; enum: IOLOGICB.LSRIMUX LSRMUX; enum: IOLOGICB.MODE IREG_OREG; enum: IOLOGICB.MTDDRX.REGSET SET; enum: IOLOGICB.OUTREG.REGSET SET; enum: IOLOGICB.TSREG.REGSET SET; enum: PIOB.BASE_TYPE OUTPUT_SSTL18_II; enum: PIOB.DATAMUX_OREG IOLDO; enum: PIOB.TRIMUX_TSREG IOLTO
T6   R50  C4   A bank8  D7/IO7                 | -
T7   R50  C11  A bank8  D1/MISO/IO1            | enum: IOLOGICA.CEMUX CE; enum: IOLOGICA.CLKIMUX CLK; enum: IOLOGICA.CLKOMUX CLK; enum: IOLOGICA.GSR DISABLED; enum: IOLOGICA.LSROMUX LSRMUX; enum: PIOA.BASE_TYPE INPUT_LVTTL33; enum: PIOA.CLAMP ON; enum: PIOA.HYSTERESIS ON
T8   R50  C11  B bank8  D0/MOSI/IO0            | -
